id	wplayerid	bplayerid	wusername	busername	wtitle	btitle	wcountry	bcountry	wrating	brating	wratingk	bratingk	wtype	btype	event	site	timecontrol	postal	startts	endts	result	termination	plycount	mode	rated	corrupt	movelist	events
1	1	48	omar	illz			US	US	1516	1595	-1	-1	h	h	Casual game	Over the Net	4/4/100/4/0	0	1037992826	1037997163	w	g	20	IGS	0	0	1w Ee2 Md2 Ha2 Hh2 Db2 Dg2 Cf2 Cc1 Ra1 Rb1 Rd1 Re1 Rf1 Rg1 Rh1 Rc2\n1b ee7 md7 ch8 ca8 dc7 hb7 hg7 df7 ra7 rh7 rb8 rc8 rd8 re8 rf8 rg8\n2w Db2n Ha2n Ha3n Hh2n\n2b ee7s ee6s md7s md6s\n3w Ee2n Ee3w Ed3n Ra1n\n3b md5n ee5s ee4s ee3s\n4w Dg2n Hh3n Hh4n Ed4n\n4b dc7e md6e hb7s hb6s\n5w Ha4n Ha5n Ha6e Ed5w\n5b ra7s ca8s ra6s hb5s\n6w Ec5s Ec4n hb4e Hb6e\n6b ee2n ee3w ra5s ra4s\n7w Hc6w Hb6s Hb5s Hb4w\n7b ed3w Db3n ec3w eb3s\n8w Ha4n ra3n hc4s hc3x Ec5s\n8b eb2n Db4n eb3n ra4s\n9w Ec4s Ec3w Db5e Ha5n\n9b eb4e Dc5n Dc6x ec4n ec5s\n10w Ha6s ca7s Eb3n Rb1n\n10b me6e mf6e mg6s mg5s\n11w ca6e Ha5n cb6e cc6x Ha6e\n11b ra3e ec4s ec3n Rc2n Rc3x\n12w Eb4w rb3n rb4n Ea4e\n12b ec4n rb5w ec5w ra5s\n13w Md2n Md3n Md4n Md5n\n13b eb5w Hb6s ea5n ea6e\n14w Eb4e ra4e Ec4n rb4e\n14b mg4w mf4w me4w md4s\n15w Ra2n Ra3n Ra4n Hh5w\n15b rb8s rb7w rc8s rc7s\n16w Ec5e Ed5s Hb5e Hg5n\n16b eb6s rc6x Hc5n eb5e ec5w\n17w rc4n Ed4w Rb2n Rb3n\n17b Ra5s eb5w md3s md2w\n18w Rb4n Ec4w Hc6n rc5n rc6x\n18b ea5n ea6e ra7s ra6s\n19w Rb5e Rc5n Eb4n Re1n\n19b eb6n rh7s hg7e rh6s\n20w dd7e Hc7e Rc6n Rc7n\n20b	NULL
2	73	1	kamikazeking	omar			PT	US	1500	1516	-1	-1	h	h	Casual game	Over the Net	4/4/100/4/0	0	1037997612	1037998724	b	t	6	IGS	0	0	1w Md2 Ha2 Hh2 Dg2 Ef2 Dc2 Cb2 Ce2 Ra1 Rb1 Rc1 Rd1 Re1 Rf1 Rg1 Rh1\n1b ee7 md7 ha7 hh7 db7 dg7 cf8 cc8 rc7 rf7 ra8 rb8 rd8 re8 rg8 rh8\n2w Dc2n Dc3x Md2n Dg2n Hh2n\n2b takeback\n2w Md2n Ce2n Ha2n Hh2n\n2b md7s md6s ha7s hh7s\n3w Hh3n Dg2n Rh1n Rh2n\n3b ee7s rd8s rd7s db7s\n4w Ce3n Ef2w Ee2n Md3n\n4b ee6s ee5n Ce4n hh6s\n5w Cb2n Cb3n Dc2w Db2n\n5b Ce5e ee6s Cf5n Cf6x ee5e\n6w Cb4e Cc4s Cc3s Rd1n\n6b db6s\n7w	NULL
3	73	1	kamikazeking	omar			PT	US	1500	1516	-1	-1	h	h	Casual game	Over the Net	4/4/100/4/0	0	1037999824	1038003627	w	t	16	IGS	0	0	1w Ee2 Md2 Ha2 Hh2 Db2 Dg2 Cc2 Cf2 Ra1 Rb1 Rc1 Rd1 Re1 Rf1 Rg1 Rh1\n1b ee7 md7 ha7 hh7 db7 dg7 cf8 cc8 rc7 rf7 ra8 rb8 rd8 re8 rg8 rh8\n2w Ee2n Md2n Md3n Db2n\n2b hh7s ha7s ee7s ee6s\n3w Hh2n Ha2n Rd1n Rd2n\n3b ee5w ed5e Md4n hh6s\n4w Ee3n Ee4w Md5w Mc5s\n4b ee5w ed5w dg7s md7s\n5w Mc4w Mb4w Cc2e Cd2s\n5b md6e ec5e me6s hh5s\n6w Ed4e me5e Ee4n Ma4e\n6b rf7s mf5s mf4e rf6s\n7w rf5n Ee5e Ef5e Dg2n\n7b mg4w mf4w ed5w rf6w\n8w Eg5s Eg4w me4s Ef4w\n8b hh4w hg4w ec5s cf8s\n9w me3e Ee4s Ee3n Ha3n\n9b Mb4n ec4w Dg3s mf3e\n10w Rb1n Db3w Ha4n Da3e\n10b takeback\n10w Ee4w Ed4w Ec4n Ec5n Ec6x\n10b takeback\n10w Ee4w Ed4w Ec4n Rh1n\n10b mg3w mf3e Cf2n Cf3x db7s\n11w Dg2w Rd3e Rc1n Ec5s\n11b takeback\n11w Dg2w Cd1n Cd2e Ce2n\n11b rh8s rh7s rh6s rh5s\n12w db6n Mb5n Mb6e Mc6e\n12b mg3n Hh3w rh4s db7s\n13w Md6s Md5s Md4e Ec5s\n13b Hg3w mg4s dg6s dg5s\n14w Df2e Hf3s Me4n Me5e\n14b rd8s rd7s eb4n eb5e\n15w Ha4e Mf5e Mg5e Mh5s\n15b ec5e ed5s mg3w ed4e\n16w rh3w Mh4s Mh3n Rh2n\n16b	NULL
4	87	73	Moi	kamikazeking			ES	PT	1500	1500	-1	-1	h	h	Casual game	Over the Net	0/0/0/0/0	1	1038076201	1038079280	b	g	28	IGS	0	0	1w Ee2 Md2 Hh2 Dg2 Db1 Ca2 He1 Cf1 Ra1 Rc1 Rd1 Rg1 Rh1 Rb2 Rc2 Rf2\n1b ee7 md7 ha7 hh7 db7 dg7 cf8 cc8 rc7 rf7 ra8 rb8 rd8 re8 rg8 rh8\n2w Ee2n Rf2n Rf3n Md2n\n2b dg7s md7s ee7s ee6s\n3w He1n He2e Hf2n Hf3e\n3b ee5e ef5w Rf4n hh7s\n4w Hg3n Hg4n dg6n Hg5n\n4b Rf5n ee5e ef5e eg5w\n5w Rf6w Ee3n Ee4n Hh2n\n5b Re6e md6e ef5e re8s\n6w Ee5w me6s Ed5n me5w\n6b eg5w Hg6s Rf6x Hg5n ef5e\n7w Ed6n rc7s rc6x Ed7w Ec7e\n7b Hg6w Hf6x eg5n db7s md5w\n8w Md3n Md4n Md5n Ed7w\n8b eg6w ef6w Md6w ee6w\n9w db6w Mc6w Ec7s Hh3n\n9b ed6s mc5s mc4e md4e\n10w Ec6e Mb6n Mb7e Rb2n\n10b me4e mf4e Hh4n mg4e\n11w Mc7s cc8s Mc6w cc7s cc6x\n11b Hh5w mh4n Hg5n mh5w\n12w Ed6e Ee6e Ef6s rf7s rf6x\n12b ed5w ec5w Mb6e Mc6x eb5n\n13w Ef5w mg5w mf5n mf6x Ee5e\n13b cf8s re7s eb6s eb5e\n14w Hg6w cf7n Hf6n Hf7s\n14b rd8s rd7s dg7w hh6w\n15w Dg2n Cf1n Dg3w Df3w\n15b re6s da6e ha7e hb7e\n16w Hf6w df7s rd6w He6w\n16b ec5e rc6s Hd6w Hc6x ed5n\n17w Ef5e hg6e df6x Eg5n De3n\n17b ed6e hc7e hd7s hd6s\n18w Eg6s hh6w re5e De4n\n18b hd5s hd4e he4s De5s\n19w Rc2n Rc3e Rc1n Rc2n\n19b he3s Cf2n Cf3x he2e hf2w\n20w De4w Dd4w rc5n Dc4n\n20b he2n cf8s cf7s rc6e\n21w Eg5s Eg4w Ef4w Rc3n\n21b ee6s ee5w Dc5n Dc6x ed5w\n22w he3e hf3x Ee4s Ee3n Ee4e\n22b rf5w cf6w Rc4s ec5s\n23w Ca2e Cb2e Ef4w Db1n\n23b rh8s rh7s rh6s ec4e\n24w Cc2e Cd2e Ce2e Cf2e\n24b Rd3e ed4s Re3e Rf3x ed3e\n25w Rc3n Cg2n Cg3n Cg4e\n25b db6s db5e dc5w Rc4n\n26w Ee4w Ed4n rd6w rc6x Ed5n\n26b rb8e ee3w re5s re4s\n27w Ed6w ce6w Ec6w cd6w cc6x\n27b takeback\n27w Db2e Dc2e Dd2e Rd1n\n27b Rd2w ed3s De2e ed2e\n28w Rg1w Rf1w Rc2n Rc3n\n28b re3w rd3s rd2s\n29w	NULL
5	89	73	Guest89	kamikazeking			US	PT	1500	1500	-1	-1	h	h	Casual game	Over the Net	4/4/100/4/0	0	1038088851	1038090083	w	t	9	IGS	0	0	1w Ee2 Md2 Ha2 Hh2 Cb2 Dc2 Cg2 Df2 Ra1 Rb1 Rc1 Rd1 Re1 Rf1 Rg1 Rh1\n1b ee7 md7 ha7 hh7 db7 dg7 cc7 cf7 ra8 rb8 rc8 rd8 re8 rf8 rg8 rh8\n2w Ee2n Ee3w Ed3n Md2n\n2b ee7s md7s db7s dg7s\n3w Ed4n md6n Ed5n Md3n\n3b ha7s ha6s ha5e hh7s\n4w Rd1n Rd2n Re1n Re2n\n4b ee6s ee5w ed5w ec5s\n5w Md4n Ha2n Ha3n Ha4n\n5b ec4n Md5e ec5e hh6s\n6w Df2w Dc2e Cb2n Ra1n\n6b Me5e ed5e Mf5n Mf6x ee5e\n7w Re3n De2n Rd3n Dd2n\n7b ef5w ee5n Re4n hh5w\n8w Ha5n db6e Ha6e De3n\n8b Re5e ee6s Rf5n Rf6x hg5w\n9w Rd4n Dd3n Dd4w Dc4n\n9b	NULL
6	87	90	Moi	jito			ES	JP	1500	1500	-1	-1	h	h	Casual game	Over the Net	1/1/100/1/0	0	1038096611	1038097463	b	t	11	IGS	0	0	1w Ee2 Md2 Cc2 Cf2 Hb2 Da1 Dh1 Hg2 Rb1 Rc1 Rd1 Re1 Rf1 Rg1 Ra2 Rh2\n1b ee7 md7 ha7 hh7 db7 dg7 cc7 cf7 ra8 rb8 rc8 rd8 re8 rf8 rg8 rh8\n2w Ee2n Ee3n Md2n Md3n\n2b ee7s ee6s ee5w cf7w\n3w Hg2n Cf2n Cf3n Ee4n\n3b Md4w ed5s ed4e md7s\n4w Cc2e Cd2n Cd3n Ee5n\n4b Cf4s ee4e ef4e hh7s\n5w Cf3w ce7e Ee6n Rh2n\n5b hh6w md6s md5e db7s\n6w cf7s Ee7e dg7e Ef7e\n6b rf8s me5s Ce3s me4s\n7w hg6e Eg7s Mc4w Mb4n\n7b Hg3w Hf3x eg4s eg3s eg2e\n8w Eg6n rf7w cf6x Eg7w Ce2e\n8b me3s Cf2n Cf3x me2e mf2e\n9w re7s Ef7w re6e rf6x Ee7s\n9b Rh3w eh2n Rg3w Rf3x eh3w\n10w Ee6n Ee7s re8s Cd4n\n10b rg8s rg7s rg6s mg2e\n11w Ee6s Ee5e rg5n Ef5e\n11b re7s re6s dh7w dg7w\n12w	NULL
7	90	73	jito	kamikazeking			JP	PT	1500	1500	-1	-1	h	h	Casual game	Over the Net	1/1/100/1/0	0	1038101177	1038103049	b	r	30	IGS	0	0	1w Ee2 Md2 Ha2 Hh2 Db2 Dg2 Cc2 Cf2 Ra1 Rb1 Rc1 Rd1 Re1 Rf1 Rg1 Rh1\n1b ee7 md7 ha7 hh7 db7 dg7 cc8 cf8 rc7 rf7 ra8 rb8 rd8 re8 rg8 rh8\n2w Ee2n Ee3n Md2n Md3n\n2b md7s md6s ee7s ee6s\n3w Hh2n Hh3w Ha2n Ha3e\n3b dg7s db7s ha7s hh7s\n4w Cc2e Cd2n Cf2w Ce2n\n4b hh6s hh5w ha6s ha5e\n5w Dg2w Db2e\n5b rh8s rh7s ra8s ra7s\n6w Dc2w Db2w Df2e Dg2e\n6b rh6s ra6s\n7w Rd1n Re1n Rf1n Rc1n\n7b re8s re7s rd8s rd7s\n8w Rb1e Rg1w Rh1w Ra1e\n8b cf8w cc8e ce8s cd8s\n9w Hb3n Da2n Da3n Dh2n\n9b md5w mc5s mc4n Hb4e\n10w Hc4w\n10b mc5s mc4n Hb4e mc5e\n11w Rc2w Rb2w Hc4w Rb1n\n11b md5w mc5s mc4n Hb4e\n12w Hc4w Da4s ra5s\n12b ee5w ed5e Md4n hb5w\n13w Ee4w Ed4w mc5n Ec4n\n13b ee5e Md5e ef5s Me5e\n14w Ec5e mc6s mc5s Ed5w\n14b Mf5n Mf6x ef4n ef5s ef4e\n15w mc4s mc3x Ec5s\n15b eg4w Hg3n ef4n Hg4w\n16w Ec4e Ed4e Hf4s Hb4e\n16b hg5s hg4e hh4w Dh3n\n17w Ee4e hg4s Ef4e Dh4s\n17b ef5s ra4e ha5s rf7e\n18w Hc4e rb4e rc4s rc3x Hd4w\n18b ha4e Da3n Da4n hb4w\n19w Hc4w Hb4n Hb5s db6s\n19b Da5n ha4n db5n ce7e\n20w Hb4e Hc4e Hd4e He4n\n20b ef4n ef5s He5e cd7e\n21w Eg4n Hf5w He5s Eg5s\n21b db6s Da6e ha5n\n22w He4w Hd4w Hc4n Ce3n\n22b Ce4n ef4w Ce5e ee4n\n23w Hf3n hg3w hf3x Eg4s Cf5e\n23b ee5w Hc5n ed5w rb8e\n24w Hf4w He4w Hd4w Dh3n\n24b Db6n Hc6x ha6e ec5e Hc4n\n25w Ra2n Ra3n Ra4n Cd3n\n25b Hc5n Hc6x ed5w db5s Ra5e\n26w Rb2w Ra2n Ra3n Rd2w\n26b db4s Ra4e Rb4e db3n\n27w Rc2w Rb2n Rc1n Rc2n\n27b hb6w Db7s Db6e Dc6x ha6e\n28w Rb3w Ra3n Rc3w Cd4s\n28b hb6w Rb5n Rb6e Rc6x ha6e\n29w Cd3w Rb3w Ra4n Ra5n\n29b hb6n Ra6e Rb6e Rc6x hb7s\n30w resign\n30b	NULL
8	77	44	Sophi05	adsyed01			US	US	1500	1500	200	200	h	h	Casual game	Over the Net	4/4/100/4/0	0	1038106872	1038107934	b	g	13	IGS	1	0	1w Ee2 Ha2 Cc2 Db1 Md1 Dg2 Cf1 Hh1 Ra1 Rc1 Re1 Rg1 Rb2 Rd2 Rf2 Rh2\n1b ee7 md7 ha7 cf8 cd8 db8 dg8 hg7 rb7 rc7 rf7 rh7 ra8 rc8 re8 rh8\n2w Rf2n Rf3x Rd2n Rd3n Rd4e\n2b ee7s ee6s Re4s ee5s\n3w Ha2n Rb2n Rb3n Ha3n\n3b Re3e Rf3x ee4s ee3w ed3s\n4w Cc2w Rc1n Dg2w Rh2n\n4b Rc2n Rc3x ed2w ec2e ed2n\n5w Ee2w Ha4n Ha5n Ha6e\n5b ed3n ha7s ha6s ha5e\n6w Hb6w Ed2n Ha6n Hh1n\n6b Rb4s hb5s Rb3e hb4s\n7w Rc3n Cb2w Ca2n Db1n\n7b Db2s hb3s hb2e hc2e\n8w Ca3e Cb3n Rc4n Cb4e\n8b Cc4s ed4w Rc5n Rc6x ec4n\n9w Cc3w hd2e Ed3s Df2e\n9b ec5w eb5s Cb3e Cc3x eb4s\n10w Db1n he2e Ed2e Rg1e\n10b rb7s rb6s rb5s rb4w\n11w Md1n Re1w Ee2s Ra1n\n11b Db2e eb3s ra4s ra3e\n12w Cf1e Ee1e hf2n hf3x Ef1n\n12b Ra2n eb2w rb3s rb2s\n13w	NULL
9	44	52	adsyed01	Imran			US	US	1570	1500	190	200	h	h	Casual game	Over the Net	10/10/100/10/0	0	1038108240	1038112977	w	g	29	IGS	1	0	1w Md2 Ha2 Hh2 Cg1 Ee2 Cb1 Dc1 Df1 Ra1 Rd1 Re1 Rh1 Rb2 Rc2 Rf2 Rg2\n1b ee7 md7 ha7 hh7 dg8 db8 cf7 cc7 rb7 rg7 ra8 rc8 rd8 re8 rf8 rh8\n2w Ee2n Ee3n Rb2n Rg2n\n2b rg7s rb7s ee7s md7s\n3w Md2n Md3n Hh2n Hh3n\n3b hh7s hh6s ha7s ha6s\n4w Md4n Ee4n Md5w Mc5w\n4b md6s ee6w md5w mc5n\n5w Ee5e Ef5e rg6w Eg5n\n5b rf6s mc6s rf5w cf7e\n6w ha5n Mb5w ha6n Ma5n\n6b mc5s mc4w Rb3e mb4s\n7w Cb1n rb6e Ma6e Rc3e\n7b Cb2s mb3s Rc2n mb2e\n8w Rc3w Mb6n cc7e Mb7e\n8b ha7s ha6s ha5s ha4e\n9w Ha2n Ha3n Eg6s Eg5w\n9b rc6w ed6s Rb3e hb4s\n10w Mc7w rb6e rc6x Mb7s Rc3n\n10b hh5w ed5s Rd3w ed4s\n11w re5n Ef5w Rc4n Rc3x Rc5e\n11b hg5s Rg3w hg4s ed3e\n12w Rd5n re6e rf6x Ee5n Ee6n\n12b hg3s Rf2w Rf3x hg2w ee3n\n13w cd7w Ee7w cc7s cc6x Ed7w\n13b ee4e ef4e Hh4s eg4e\n14w Ha4s Rd6n Mb6e Mc6e\n14b Hh3w eh4s Hg3w Hf3x eh3w\n15w Ec7w Eb7s Eb6s Eb5s\n15b eg3w ef3w ee3w ed3w\n16w hb3s Eb4s Md6e Me6n\n16b hb2w ec3n mc2e ec4e\n17w Me7e cg7s Mf7e Ha3n\n17b ed4e ee4e ef4n ef5n\n18w Mg7e Mh7s Mh6s Mh5s\n18b db8s ef6s ef5e eg5s\n19w Ha4n Ha5n Ha6n Ha7s\n19b takeback\n19w Ha4s Ha3n Ha4n Ha5n\n19b Re2n hf2w db7n cg6s\n20w Eb3s ha2n Eb2w\n20b Re3e Rf3x he2n he3w\n21w Ea2e Eb2e md2e Ec2e\n21b eg4w cg5s cg4s\n22w hd3w hc3x Ed2n Mh4s Ed3s\n22b ef4e cg3s eg4s cg2w\n23w cf2n Df1n me2n Ed2e\n23b eg3s cf3n Df2n Df3x eg2w\n24w me3n Ee2n me4n Ee3n\n24b ef2s Cg1n ef1e ha3e\n25w me5n Ee4n me6e mf6x Ee5n\n25b Cg2n eg1n Cg3w Cf3x eg2n\n26w Ha6s Ha5s Ha4s\n26b eg3n eg4e Mh3w eh4s\n27w Ee6s Ee5s cf4s cf3x Ee4e\n27b db8s db7e Rd7s dc7e\n28w Ha3n Ha4n Ha5n Ha6e\n28b Rd6w dd7s Mg3w eh3w\n29w Rc6n Rc7w Rb7n\n29b	NULL
10	73	1	kamikazeking	omar			PT	US	1500	1516	-1	-1	h	h	Casual game	Over the Net	4/4/100/4/0	0	1038173276	1038175812	w	r	20	IGS	0	0	1w Ee2 Md2 Ha2 Hh2 Db2 Dg2 Cf1 Cc1 Ra1 Rb1 Rd1 Re1 Rg1 Rh1 Rc2 Rf2\n1b ha7 hh7 eg7 de7 dd7 mb7 cc8 cf8 rc7 rf7 ra8 rb8 rd8 re8 rg8 rh8\n2w Ee2n Ee3n Md2n Md3n\n2b eg7s hh7s hh6s rh8s\n3w Db2n Dg2n Hh2n Ha2n\n3b mb7s mb6s ha7s rb8s\n4w Md4s Ee4w Ed4w Ec4n\n4b dd7s ha6s mb5s ha5s\n5w Ec5s Ec4e mb4e Md3e\n5b ha4e Db3s hb4s eg6s\n6w mc4w Ed4w Hh3s Hh2w\n6b mb4w Db2w hb3s eg5s\n7w Ec4w Eb4s Eb3n hb2n\n7b dd6s dd5s dd4w eg4w\n8w Me3w Re1n Re2n Cf1w\n8b ef4w ee4w Md3s ed4s\n9w dc4e Eb4e dd4e Ec4e\n9b ma4e mb4e Re3s ed3e\n10w Md2n mc4w Ed4w Da2e\n10b mb4w Db2w hb3s hh5w\n11w Dg3e Hg2n Ec4w Eb4s\n11b Md3n ee3w hg5s hg4w\n12w Eb3n Eb4e Dh3n Dh4n\n12b rb7s ma4n Ha3n de4s\n13w Md4e de3e Me4s Da2n\n13b ed3n Me3w ma5n Ha4n\n14w Dh5n Dh6s rh7s Da3n\n14b ed4e Md3n Md4n ee4w\n15w Ec4n Md5e Ec5s Me5e\n15b df3w Rf2n ed4n ed5e\n16w Dh5w hf4e Mf5s Ec4e\n16b Rc2n Rc3x hb2e Re2e de3s\n17w Ed4s Ed3s hc2n hc3x Ed2w\n17b Ha5e ma6s Hb5e ma5e\n18w hg4e Mf4e Ec2e Ed2n\n18b Hc5n Hc6x mb5e ee5s ee4e\n19w hh4s Mg4e Ed3n Ed4w\n19b ef4e de2w dd2w de7s\n20w resign\n20b	NULL
